2014 01  0.073,264.21, 63.74, 26.24, 44.99
2014 02  0.065,261.73, 56.34, 37.22, 46.78
2014 03  0.060,260.22, 52.91, 44.04, 48.48
2014 04  0.060,259.86, 52.14, 46.23, 49.18
2014 05  0.065,261.42, 51.58, 44.32, 47.95
2014 06  0.074,265.02, 52.49, 37.53, 45.01
2014 07  0.089,269.21, 58.46, 28.68, 43.57
2014 08  0.114,273.70, 68.83, 20.21, 44.52
2014 09  0.141,277.51, 79.52, 14.43, 46.97
2014 10  0.171,280.78, 87.84, 10.51, 49.17
2014 11  0.196,283.23, 91.47,  6.67, 49.07
2014 12  0.219,285.13, 93.37,  9.16, 51.27
2014 13  0.239,286.54, 93.17, 12.28, 52.72
2014 14  0.262,287.78, 92.40, 13.06, 52.73
2014 15  0.289,288.79, 90.65, 16.54, 53.60
2014 16  0.316,289.76, 87.73, 24.37, 56.05
2014 17  0.348,290.79, 86.13, 31.75, 58.94
2014 18  0.377,291.70, 84.23, 38.03, 61.13
2014 19  0.403,292.53, 81.80, 42.87, 62.33
2014 20  0.422,293.09, 77.88, 48.92, 63.40
2014 21  0.440,293.70, 75.04, 51.54, 63.29
2014 22  0.452,293.69, 72.01, 56.66, 64.33
2014 23  0.475,294.74, 77.46, 49.44, 63.45
2014 24  0.488,295.21, 81.52, 46.35, 63.94
2014 25  0.495,295.65, 85.04, 41.82, 63.43
2014 26  0.496,295.76, 86.68, 40.97, 63.83
2014 27  0.499,296.04, 88.72, 38.50, 63.61
2014 28  0.497,296.17, 90.17, 36.31, 63.24
2014 29  0.493,296.35, 90.93, 33.28, 62.10
2014 30  0.488,296.48, 91.19, 32.14, 61.67
2014 31  0.484,296.46, 91.58, 32.18, 61.88
2014 32  0.480,296.40, 92.54, 31.89, 62.21
2014 33  0.472,296.14, 92.70, 32.04, 62.37
2014 34  0.460,295.78, 92.20, 31.52, 61.86
2014 35  0.446,295.14, 92.32, 30.97, 61.64
2014 36  0.428,294.21, 92.17, 29.41, 60.79
2014 37  0.406,293.21, 90.51, 26.70, 58.60
2014 38  0.377,292.07, 85.93, 23.42, 54.68
2014 39  0.341,289.97, 78.51, 27.37, 52.94
2014 40  0.305,287.59, 70.63, 33.31, 51.97
