2014 01  0.121,268.24, 81.24, 19.04, 50.14
2014 02  0.113,266.21, 81.03, 26.22, 53.63
2014 03  0.108,264.68, 76.10, 35.26, 55.68
2014 04  0.109,264.49, 69.42, 40.43, 54.93
2014 05  0.118,266.06, 65.93, 40.21, 53.07
2014 06  0.135,269.32, 68.66, 32.32, 50.49
2014 07  0.162,273.46, 76.49, 19.19, 47.84
2014 08  0.188,276.87, 83.75,  9.52, 46.63
2014 09  0.211,279.48, 88.90,  4.57, 46.73
2014 10  0.230,281.64, 91.70,  3.34, 47.52
2014 11  0.249,283.38, 92.96,  4.39, 48.68
2014 12  0.265,284.80, 93.17, 10.40, 51.79
2014 13  0.279,285.87, 92.62, 14.55, 53.59
2014 14  0.294,286.90, 91.33, 17.42, 54.37
2014 15  0.315,287.89, 91.18, 19.28, 55.23
2014 16  0.338,288.88, 89.59, 24.16, 56.87
2014 17  0.363,289.88, 87.00, 32.55, 59.78
2014 18  0.389,290.80, 84.83, 40.30, 62.56
2014 19  0.414,291.56, 83.35, 47.32, 65.34
2014 20  0.432,292.08, 80.44, 53.26, 66.85
2014 21  0.448,292.70, 77.93, 54.08, 66.01
2014 22  0.458,292.93, 75.36, 54.64, 65.00
2014 23  0.477,293.78, 79.83, 44.93, 62.38
2014 24  0.488,294.19, 80.85, 39.99, 60.42
2014 25  0.493,294.71, 81.73, 34.46, 58.10
2014 26  0.488,294.99, 79.19, 32.27, 55.73
2014 27  0.485,295.50, 80.19, 28.37, 54.28
2014 28  0.475,295.69, 77.33, 28.56, 52.94
2014 29  0.468,296.09, 76.24, 26.79, 51.52
2014 30  0.462,296.35, 76.77, 27.98, 52.38
2014 31  0.451,295.93, 73.49, 31.82, 52.66
2014 32  0.441,295.10, 69.47, 38.90, 54.18
2014 33  0.435,294.28, 69.42, 45.03, 57.22
2014 34  0.432,293.96, 72.40, 41.34, 56.87
2014 35  0.423,293.18, 74.18, 38.47, 56.33
2014 36  0.417,292.18, 78.02, 35.11, 56.56
2014 37  0.406,291.48, 80.64, 25.43, 53.04
2014 38  0.386,290.72, 78.57, 19.51, 49.04
2014 39  0.355,288.90, 72.40, 24.12, 48.26
2014 40  0.319,286.48, 64.15, 34.66, 49.40
2014 41  0.294,284.65, 63.03, 35.10, 49.07
2014 42  0.269,282.98, 63.57, 33.50, 48.53
2014 43  0.240,280.76, 61.92, 36.42, 49.17
2014 44  0.207,278.06, 58.35, 38.61, 48.48
2014 45  0.171,274.44, 50.90, 45.36, 48.13
2014 46  0.139,270.77, 43.71, 52.87, 48.29
2014 47  0.110,267.98, 35.92, 57.39, 46.65
2014 48  0.088,265.67, 30.17, 60.49, 45.33
2014 49  0.081,264.08, 30.47, 59.25, 44.86
2014 50  0.082,263.71, 34.01, 53.48, 43.75
2014 51  0.082,264.00, 39.57, 46.60, 43.08
2014 52  0.083,263.99, 45.26, 43.99, 44.62
2015 01  0.088,264.50, 54.07, 38.24, 46.16
2015 02  0.096,266.16, 65.69, 28.34, 47.01
2015 03  0.108,268.27, 75.39, 19.78, 47.58
2015 04  0.122,270.07, 77.63, 16.55, 47.09
2015 05  0.135,271.60, 75.97, 17.51, 46.74
2015 06  0.143,272.97, 72.13, 18.28, 45.20
2015 07  0.151,274.40, 70.18, 16.43, 43.31
2015 08  0.163,276.24, 71.82, 13.31, 42.56
2015 09  0.178,278.26, 74.54,  9.89, 42.22
2015 10  0.187,280.12, 74.20,  9.47, 41.84
2015 11  0.204,282.34, 75.55,  8.87, 42.21
2015 12  0.217,283.89, 74.66, 15.13, 44.90
2015 13  0.232,285.08, 73.33, 19.25, 46.29
2015 14  0.244,286.33, 68.89, 21.26, 45.07
2015 15  0.260,287.88, 65.67, 18.64, 42.15
2015 16  0.291,289.46, 68.26, 17.29, 42.77
2015 17  0.326,290.76, 70.79, 21.65, 46.22
2015 18  0.355,291.35, 69.57, 33.43, 51.50
2015 19  0.379,292.05, 67.36, 41.18, 54.27
2015 20  0.409,292.68, 69.74, 45.79, 57.76
2015 21  0.436,293.27, 71.83, 47.17, 59.50
2015 22  0.455,293.61, 73.69, 46.92, 60.31
2015 23  0.471,294.07, 76.90, 42.18, 59.54
2015 24  0.481,294.55, 77.21, 36.39, 56.80
2015 25  0.485,294.99, 77.56, 31.93, 54.75
2015 26  0.477,295.15, 72.81, 30.97, 51.89
2015 27  0.470,295.45, 71.39, 29.38, 50.38
2015 28  0.468,296.14, 73.11, 23.47, 48.29
2015 29  0.466,296.50, 74.15, 22.37, 48.26
2015 30  0.459,296.84, 74.27, 22.49, 48.38
2015 31  0.450,297.54, 72.09, 13.96, 43.03
2015 32  0.433,297.80, 63.94, 10.17, 37.05
2015 33  0.419,297.80, 59.52,  7.59, 33.55
2015 34  0.403,297.07, 55.05,  7.97, 31.51
2015 35  0.379,295.45, 49.74, 12.50, 31.12
2015 36  0.359,293.68, 48.20, 17.60, 32.90
2015 37  0.344,291.54, 49.67, 24.80, 37.23
2015 38  0.332,289.04, 52.25, 39.67, 45.96
2015 39  0.321,286.90, 56.21, 49.06, 52.63
2015 40  0.305,285.24, 57.29, 49.50, 53.39
2015 41  0.280,283.75, 55.89, 45.53, 50.71
2015 42  0.252,282.20, 54.84, 41.54, 48.19
2015 43  0.225,280.93, 53.79, 35.17, 44.48
2015 44  0.199,279.88, 53.24, 25.22, 39.23
2015 45  0.172,278.33, 50.86, 20.79, 35.83
2015 46  0.158,276.58, 54.24, 20.26, 37.25
2015 47  0.151,274.94, 61.04, 21.26, 41.15
2015 48  0.142,273.28, 63.52, 23.36, 43.44
2015 49  0.138,272.30, 67.59, 21.22, 44.41
2015 50  0.139,271.46, 74.90, 17.72, 46.31
2015 51  0.133,269.55, 78.44, 20.39, 49.41
2015 52  0.124,267.38, 78.66, 27.64, 53.15
2016 01  0.111,264.76, 75.04, 36.77, 55.90
2016 02  0.101,263.03, 70.98, 43.76, 57.37
2016 03  0.097,262.65, 66.44, 47.73, 57.09
2016 04  0.098,263.88, 61.09, 45.73, 53.41
2016 05  0.105,266.89, 57.05, 38.72, 47.89
2016 06  0.112,269.22, 54.46, 34.61, 44.54
2016 07  0.120,271.32, 54.04, 30.06, 42.05
2016 08  0.123,272.21, 51.41, 32.15, 41.78
2016 09  0.132,273.22, 52.58, 35.16, 43.87
2016 10  0.150,275.04, 56.79, 35.88, 46.33
2016 11  0.169,277.30, 59.91, 35.99, 47.95
2016 12  0.193,279.77, 63.69, 38.43, 51.06
2016 13  0.215,281.72, 65.52, 40.95, 53.23
2016 14  0.236,283.42, 65.42, 44.01, 54.72
2016 15  0.264,285.35, 68.23, 42.65, 55.44
2016 16  0.293,286.46, 69.38, 50.19, 59.78
2016 17  0.325,287.82, 70.52, 56.52, 63.52
2016 18  0.351,289.16, 68.21, 59.72, 63.97
2016 19  0.376,290.50, 66.24, 60.05, 63.15
2016 20  0.399,291.78, 65.59, 56.54, 61.06
2016 21  0.419,292.60, 64.07, 55.26, 59.67
2016 22  0.440,293.40, 66.60, 49.33, 57.96
2016 23  0.459,294.41, 70.87, 37.89, 54.38
2016 24  0.466,295.15, 69.87, 28.50, 49.18
2016 25  0.469,295.65, 69.24, 23.31, 46.28
2016 26  0.464,295.69, 66.39, 23.93, 45.16
2016 27  0.457,295.89, 64.65, 23.87, 44.26
2016 28  0.452,296.29, 64.26, 21.71, 42.99
2016 29  0.446,296.38, 63.33, 23.83, 43.58
2016 30  0.443,296.49, 65.31, 26.78, 46.04
2016 31  0.441,296.75, 67.04, 22.10, 44.57
2016 32  0.438,296.84, 67.26, 17.79, 42.52
2016 33  0.434,296.77, 68.45, 14.59, 41.52
2016 34  0.427,296.44, 68.80, 11.76, 40.28
2016 35  0.416,295.62, 69.28, 10.25, 39.76
2016 36  0.398,294.52, 67.81, 10.35, 39.08
2016 37  0.370,292.62, 62.87, 14.27, 38.57
2016 38  0.339,290.51, 56.28, 22.82, 39.55
2016 39  0.298,286.88, 45.60, 48.74, 47.17
2016 40  0.259,282.55, 36.54, 78.01, 57.27
2016 41  0.222,278.95, 29.75, 89.68, 59.72
2016 42  0.186,275.30, 23.61, 92.92, 58.26
2016 43  0.148,271.49, 16.04, 93.44, 54.74
2016 44  0.120,268.63, 12.67, 90.43, 51.55
2016 45  0.096,265.97,  9.39, 86.76, 48.07
2016 46  0.085,265.13, 11.91, 79.72, 45.81
2016 47  0.081,264.78, 18.21, 72.50, 45.35
2016 48  0.078,264.89, 23.58, 64.14, 43.86
2016 49  0.073,264.54, 24.51, 57.12, 40.82
2016 50  0.068,263.69, 23.47, 53.46, 38.47
2016 51  0.069,262.90, 28.96, 51.56, 40.26
2016 52  0.067,261.49, 32.05, 55.52, 43.78
2017 01  0.064,260.61, 31.36, 56.42, 43.89
2017 02  0.064,260.71, 34.18, 55.23, 44.70
2017 03  0.062,261.14, 31.60, 54.87, 43.23
2017 04  0.060,261.49, 28.90, 56.57, 42.73
2017 05  0.060,262.25, 25.48, 58.77, 42.13
2017 06  0.064,263.65, 24.97, 57.92, 41.44
2017 07  0.076,265.67, 29.31, 53.80, 41.55
2017 08  0.091,268.03, 34.67, 49.93, 42.30
2017 09  0.106,270.50, 39.29, 46.85, 43.07
2017 10  0.121,272.85, 42.80, 45.61, 44.20
2017 11  0.140,275.49, 46.39, 44.51, 45.45
2017 12  0.170,278.82, 52.67, 42.81, 47.74
2017 13  0.204,281.81, 60.30, 39.72, 50.01
2017 14  0.233,284.17, 64.12, 37.63, 50.88
2017 15  0.258,285.81, 64.70, 37.93, 51.32
2017 16  0.282,287.10, 63.39, 42.75, 53.07
2017 17  0.299,287.30, 57.25, 62.28, 59.77
2017 18  0.323,287.91, 54.44, 73.09, 63.77
2017 19  0.354,289.67, 55.23, 68.89, 62.06
2017 20  0.386,291.51, 58.62, 59.59, 59.11
2017 21  0.416,292.48, 61.71, 56.74, 59.23
2017 22  0.436,293.14, 63.42, 52.36, 57.89
2017 23  0.450,293.44, 65.57, 49.09, 57.33
2017 24  0.461,294.24, 66.20, 39.64, 52.92
2017 25  0.463,294.44, 65.78, 38.17, 51.98
2017 26  0.465,294.44, 66.94, 39.25, 53.09
2017 27  0.461,294.50, 67.11, 40.46, 53.79
2017 28  0.457,294.51, 67.69, 43.42, 55.55
2017 29  0.457,294.83, 70.10, 43.89, 57.00
2017 30  0.449,294.92, 69.57, 47.30, 58.43
2017 31  0.446,295.04, 70.82, 43.48, 57.15
2017 32  0.444,294.97, 71.12, 40.53, 55.83
2017 33  0.437,294.45, 71.01, 42.70, 56.85
2017 34  0.422,293.35, 66.78, 49.69, 58.24
2017 35  0.401,292.37, 62.02, 49.62, 55.82
2017 36  0.379,290.92, 59.24, 50.85, 55.04
2017 37  0.357,288.80, 56.60, 57.67, 57.14
2017 38  0.336,287.37, 54.84, 60.05, 57.44
2017 39  0.306,285.39, 49.56, 67.68, 58.62
2017 40  0.264,282.86, 39.26, 76.54, 57.90
2017 41  0.222,279.80, 29.93, 84.86, 57.40
2017 42  0.180,275.67, 20.90, 90.70, 55.80
2017 43  0.145,272.30, 15.30, 91.49, 53.39
2017 44  0.117,269.16, 12.22, 90.44, 51.33
2017 45  0.099,266.36, 10.99, 87.44, 49.21
2017 46  0.089,264.13, 14.35, 83.93, 49.14
2017 47  0.075,261.12, 15.44, 85.54, 50.49
2017 48  0.068,258.56, 17.69, 86.68, 52.18
2017 49  0.064,256.41, 19.63, 86.17, 52.90
2017 50  0.059,255.14, 17.74, 84.56, 51.15
2017 51  0.062,256.10, 24.39, 77.98, 51.19
2017 52  0.063,256.93, 28.74, 73.54, 51.14
