2014 01  0.161,269.95, 86.04, 15.97, 51.01
2014 02  0.141,267.11, 77.77, 25.66, 51.71
2014 03  0.124,263.78, 67.58, 37.67, 52.63
2014 04  0.117,262.44, 59.97, 43.47, 51.72
2014 05  0.118,263.01, 55.29, 45.44, 50.36
2014 06  0.128,265.48, 55.20, 42.53, 48.87
2014 07  0.147,268.99, 60.58, 34.61, 47.59
2014 08  0.174,272.87, 69.84, 26.04, 47.94
2014 09  0.203,276.48, 78.10, 19.64, 48.87
2014 10  0.232,279.65, 85.21, 15.11, 50.16
2014 11  0.257,282.08, 89.26, 12.93, 51.09
2014 12  0.279,283.94, 91.56, 13.31, 52.43
2014 13  0.298,285.31, 93.17, 11.62, 52.39
2014 14  0.321,286.51, 94.15, 10.35, 52.25
2014 15  0.347,287.49, 94.70, 10.69, 52.70
2014 16  0.376,288.27, 94.04, 15.87, 54.96
2014 17  0.403,288.93, 91.59, 23.91, 57.75
2014 18  0.428,289.54, 89.75, 29.52, 59.63
2014 19  0.451,290.08, 87.62, 33.73, 60.68
2014 20  0.466,290.50, 85.08, 38.39, 61.73
2014 21  0.479,291.19, 82.61, 40.84, 61.73
2014 22  0.489,291.57, 80.18, 42.55, 61.36
2014 23  0.502,292.51, 82.04, 36.26, 59.15
2014 24  0.511,292.87, 83.36, 34.06, 58.71
2014 25  0.516,293.53, 83.32, 27.86, 55.59
2014 26  0.512,293.89, 79.87, 26.49, 53.18
2014 27  0.511,294.36, 78.00, 26.12, 52.06
2014 28  0.504,294.51, 77.20, 27.00, 52.10
2014 29  0.503,294.90, 78.47, 24.00, 51.23
2014 30  0.503,295.14, 79.90, 22.81, 51.36
2014 31  0.499,294.85, 79.38, 24.69, 52.03
2014 32  0.497,294.38, 80.31, 28.47, 54.39
2014 33  0.496,293.85, 81.81, 31.07, 56.44
2014 34  0.491,293.24, 83.04, 33.66, 58.35
2014 35  0.482,292.32, 84.26, 36.15, 60.21
2014 36  0.470,291.14, 85.50, 36.42, 60.96
2014 37  0.460,290.20, 86.69, 32.29, 59.49
2014 38  0.444,289.41, 84.89, 26.70, 55.79
2014 39  0.417,287.82, 79.96, 28.34, 54.15
2014 40  0.386,286.04, 72.77, 32.60, 52.68
2014 41  0.357,284.93, 68.82, 27.02, 47.92
2014 42  0.328,283.63, 66.47, 25.71, 46.09
2014 43  0.296,281.78, 64.32, 27.64, 45.98
2014 44  0.261,279.60, 62.33, 27.64, 44.98
2014 45  0.226,277.10, 58.28, 29.23, 43.76
2014 46  0.186,273.71, 50.18, 36.30, 43.24
2014 47  0.153,270.94, 44.42, 40.23, 42.32
2014 48  0.131,269.18, 41.92, 41.19, 41.56
2014 49  0.118,268.60, 40.12, 37.77, 38.95
2014 50  0.115,269.06, 44.85, 28.72, 36.78
2014 51  0.113,269.39, 50.48, 22.26, 36.37
2014 52  0.111,269.36, 53.01, 20.88, 36.95
2015 01  0.109,269.02, 53.64, 22.67, 38.15
2015 02  0.110,269.24, 57.44, 23.26, 40.35
2015 03  0.119,269.89, 64.96, 22.35, 43.66
2015 04  0.128,270.81, 68.54, 21.55, 45.04
2015 05  0.135,271.74, 66.91, 22.93, 44.92
2015 06  0.144,272.85, 65.28, 23.75, 44.52
2015 07  0.151,273.59, 63.06, 25.69, 44.38
2015 08  0.162,275.19, 65.09, 24.57, 44.83
2015 09  0.173,277.23, 66.18, 22.53, 44.36
2015 10  0.182,278.99, 65.67, 22.22, 43.95
2015 11  0.197,280.75, 66.75, 22.21, 44.48
2015 12  0.212,282.21, 67.33, 24.37, 45.85
2015 13  0.231,283.99, 68.83, 20.87, 44.85
2015 14  0.245,285.11, 66.01, 20.70, 43.36
2015 15  0.265,286.18, 65.54, 21.26, 43.40
2015 16  0.306,287.74, 70.95, 21.07, 46.01
2015 17  0.344,289.12, 72.30, 22.68, 47.49
2015 18  0.378,289.74, 73.68, 27.58, 50.63
