2014 01  0.118,268.91, 80.57, 11.26, 45.92
2014 02  0.112,267.11, 80.10, 18.66, 49.38
2014 03  0.109,265.97, 77.07, 25.38, 51.22
2014 04  0.112,266.02, 73.26, 29.57, 51.42
2014 05  0.121,267.55, 69.98, 29.71, 49.84
2014 06  0.139,270.60, 71.63, 23.53, 47.58
2014 07  0.164,274.16, 78.61, 13.65, 46.13
2014 08  0.192,277.33, 87.21,  6.83, 47.02
2014 09  0.217,279.85, 92.86,  3.43, 48.14
2014 10  0.238,282.02, 95.39,  2.46, 48.92
2014 11  0.257,283.72, 96.03,  1.62, 48.82
2014 12  0.274,285.11, 96.06,  5.59, 50.82
2014 13  0.288,286.18, 95.79, 10.10, 52.94
2014 14  0.304,287.21, 95.37, 11.92, 53.64
2014 15  0.324,288.19, 95.61, 16.12, 55.86
2014 16  0.346,289.22, 94.33, 22.51, 58.42
2014 17  0.369,290.12, 92.00, 31.30, 61.65
2014 18  0.391,290.93, 89.69, 38.30, 64.00
2014 19  0.411,291.56, 86.65, 45.21, 65.93
2014 20  0.425,291.88, 82.30, 53.30, 67.80
2014 21  0.439,292.37, 79.33, 55.29, 67.31
2014 22  0.450,292.60, 77.63, 56.00, 66.82
2014 23  0.468,293.39, 81.34, 49.27, 65.30
2014 24  0.476,293.80, 81.01, 45.57, 63.29
2014 25  0.477,294.27, 80.07, 41.66, 60.87
2014 26  0.473,294.63, 78.15, 39.10, 58.63
2014 27  0.472,295.28, 79.06, 33.50, 56.28
2014 28  0.464,295.68, 77.50, 30.73, 54.12
2014 29  0.459,296.23, 77.40, 26.47, 51.93
2014 30  0.455,296.65, 78.72, 25.17, 51.95
2014 31  0.450,296.46, 78.07, 27.15, 52.61
2014 32  0.446,295.98, 77.83, 30.81, 54.32
2014 33  0.442,295.40, 79.35, 33.63, 56.49
2014 34  0.438,294.83, 81.72, 32.75, 57.24
2014 35  0.433,293.91, 84.04, 32.73, 58.38
2014 36  0.428,292.77, 87.59, 31.61, 59.60
2014 37  0.417,291.84, 89.66, 25.75, 57.70
2014 38  0.399,290.84, 88.96, 21.25, 55.10
2014 39  0.372,288.74, 84.63, 26.96, 55.79
2014 40  0.344,286.37, 78.96, 33.97, 56.46
