2014 01  0.112,271.34, 59.97,  5.34, 32.66
2014 02  0.115,271.28, 62.45,  6.73, 34.59
2014 03  0.119,271.53, 63.32,  8.16, 35.74
2014 04  0.127,272.40, 66.95,  8.08, 37.51
2014 05  0.140,273.57, 71.79,  7.32, 39.55
2014 06  0.157,275.34, 77.90,  6.25, 42.08
2014 07  0.177,277.24, 83.67,  5.40, 44.54
2014 08  0.201,279.30, 89.59,  3.49, 46.54
2014 09  0.226,281.29, 94.10,  2.61, 48.36
2014 10  0.251,283.13, 96.64,  2.79, 49.72
2014 11  0.273,284.61, 97.36,  5.70, 51.53
2014 12  0.293,285.70, 97.25,  9.69, 53.47
2014 13  0.310,286.44, 96.04, 10.25, 53.14
2014 14  0.329,287.01, 93.91, 12.50, 53.20
2014 15  0.352,287.40, 92.21, 16.51, 54.36
2014 16  0.380,287.72, 90.06, 23.73, 56.89
2014 17  0.410,288.25, 87.37, 32.24, 59.80
2014 18  0.439,288.98, 85.75, 36.54, 61.15
2014 19  0.464,289.71, 84.09, 36.59, 60.34
2014 20  0.482,290.43, 81.75, 35.08, 58.42
2014 21  0.498,291.42, 79.60, 32.31, 55.95
2014 22  0.511,292.20, 77.93, 30.38, 54.16
2014 23  0.521,292.86, 77.77, 28.17, 52.97
2014 24  0.529,293.12, 78.58, 28.44, 53.51
2014 25  0.537,293.88, 80.00, 23.43, 51.72
2014 26  0.531,294.12, 75.83, 24.72, 50.27
2014 27  0.524,294.18, 71.05, 29.79, 50.42
2014 28  0.513,293.92, 66.60, 37.74, 52.17
2014 29  0.511,294.19, 66.92, 36.87, 51.89
2014 30  0.511,294.36, 67.62, 36.22, 51.92
2014 31  0.502,293.77, 64.71, 43.72, 54.22
2014 32  0.500,293.08, 64.40, 51.98, 58.19
2014 33  0.499,292.59, 65.65, 55.46, 60.56
2014 34  0.495,292.18, 66.38, 53.82, 60.10
2014 35  0.486,291.34, 67.95, 52.50, 60.23
2014 36  0.481,290.38, 72.75, 47.60, 60.18
2014 37  0.481,289.79, 78.99, 38.12, 58.56
2014 38  0.470,289.21, 79.69, 30.13, 54.91
2014 39  0.446,288.35, 76.71, 24.35, 50.53
2014 40  0.422,287.11, 75.41, 20.50, 47.96
2014 41  0.399,285.90, 76.97, 14.84, 45.91
2014 42  0.373,285.05, 80.31,  8.44, 44.38
2014 43  0.340,284.12, 81.11,  6.99, 44.05
2014 44  0.305,282.82, 79.69,  6.39, 43.04
2014 45  0.280,281.43, 82.67,  5.76, 44.22
2014 46  0.252,279.69, 83.84,  4.87, 44.35
2014 47  0.226,277.78, 85.20,  5.03, 45.11
2014 48  0.198,275.65, 82.85,  7.85, 45.35
2014 49  0.174,273.53, 81.20, 11.17, 46.19
2014 50  0.153,270.98, 78.27, 16.07, 47.17
2014 51  0.129,268.60, 69.49, 21.49, 45.49
2014 52  0.109,267.06, 59.36, 25.79, 42.58
2015 01  0.097,265.81, 49.02, 32.86, 40.94
2015 02  0.091,264.87, 43.27, 40.24, 41.75
2015 03  0.092,265.05, 42.86, 42.85, 42.85
2015 04  0.099,266.68, 45.39, 37.58, 41.48
2015 05  0.107,268.52, 49.07, 32.48, 40.77
2015 06  0.119,270.40, 54.69, 30.46, 42.58
2015 07  0.131,272.01, 59.05, 30.78, 44.91
2015 08  0.150,274.39, 67.75, 25.63, 46.69
2015 09  0.174,277.16, 77.09, 19.77, 48.43
2015 10  0.196,279.36, 81.55, 19.35, 50.45
2015 11  0.211,280.74, 79.27, 25.72, 52.49
2015 12  0.227,282.24, 75.68, 29.30, 52.49
2015 13  0.246,284.12, 73.02, 24.30, 48.66
2015 14  0.262,285.34, 66.98, 23.34, 45.16
2015 15  0.283,286.07, 64.27, 25.88, 45.07
2015 16  0.319,287.17, 66.80, 27.28, 47.04
2015 17  0.356,288.59, 67.45, 28.23, 47.84
2015 18  0.389,289.38, 67.90, 32.31, 50.10
2015 19  0.425,289.89, 70.18, 34.83, 52.50
2015 20  0.464,290.76, 75.49, 32.20, 53.85
2015 21  0.501,291.99, 81.05, 27.31, 54.18
2015 22  0.523,292.89, 82.99, 24.49, 53.74
