2014 01  0.083,271.98, 74.14,  6.01, 40.08
2014 02  0.075,270.99, 71.93,  7.44, 39.69
2014 03  0.068,270.08, 67.66,  9.89, 38.78
2014 04  0.066,270.22, 64.80, 12.20, 38.50
2014 05  0.069,271.10, 63.28, 13.93, 38.61
2014 06  0.076,272.68, 63.01, 14.33, 38.67
2014 07  0.091,275.25, 64.67, 13.05, 38.86
2014 08  0.111,278.66, 68.70, 10.26, 39.48
2014 09  0.134,282.27, 73.84,  6.65, 40.24
2014 10  0.159,285.61, 77.53,  4.69, 41.11
2014 11  0.184,288.47, 80.78,  2.70, 41.74
2014 12  0.209,290.78, 83.44,  2.21, 42.83
2014 13  0.231,292.58, 85.10,  4.52, 44.81
2014 14  0.254,294.03, 86.33,  6.05, 46.19
2014 15  0.279,295.23, 87.19,  8.26, 47.72
2014 16  0.307,296.27, 87.96, 11.98, 49.97
2014 17  0.338,297.23, 88.59, 17.04, 52.82
2014 18  0.363,298.19, 88.75, 24.60, 56.67
2014 19  0.382,299.02, 87.60, 33.77, 60.68
2014 20  0.393,299.58, 84.84, 40.43, 62.63
2014 21  0.399,300.16, 82.76, 45.52, 64.14
2014 22  0.398,300.51, 79.25, 50.00, 64.62
2014 23  0.397,300.87, 77.98, 51.11, 64.54
2014 24  0.393,301.20, 76.82, 53.27, 65.05
2014 25  0.384,301.63, 73.65, 55.38, 64.51
2014 26  0.372,302.44, 68.54, 52.41, 60.48
2014 27  0.356,303.25, 62.53, 47.84, 55.19
2014 28  0.336,303.91, 56.13, 42.15, 49.14
2014 29  0.314,304.89, 50.22, 33.75, 41.98
2014 30  0.292,305.97, 45.03, 24.51, 34.77
2014 31  0.271,306.52, 40.81, 19.69, 30.25
2014 32  0.251,306.71, 36.55, 16.53, 26.54
2014 33  0.233,306.33, 32.20, 17.06, 24.63
2014 34  0.217,305.50, 28.38, 19.99, 24.18
2014 35  0.205,304.34, 26.79, 21.83, 24.31
2014 36  0.198,302.81, 28.39, 20.74, 24.56
2014 37  0.191,301.13, 30.49, 16.72, 23.61
2014 38  0.184,299.24, 34.40, 15.03, 24.71
2014 39  0.180,296.84, 40.69, 19.00, 29.85
2014 40  0.179,294.28, 48.04, 21.97, 35.01
2014 41  0.178,291.45, 53.13, 22.61, 37.87
2014 42  0.171,288.63, 55.23, 21.66, 38.44
2014 43  0.164,286.44, 57.76, 17.92, 37.84
2014 44  0.154,283.83, 58.11, 16.36, 37.24
2014 45  0.140,281.16, 57.15, 16.56, 36.85
2014 46  0.120,277.77, 53.04, 22.45, 37.75
2014 47  0.095,273.31, 44.27, 33.47, 38.87
2014 48  0.071,269.17, 34.13, 41.19, 37.66
2014 49  0.056,265.56, 28.18, 46.79, 37.49
2014 50  0.049,263.20, 27.46, 49.03, 38.24
2014 51  0.045,261.80, 28.96, 47.75, 38.36
2014 52  0.042,260.27, 29.62, 48.76, 39.19
2015 01  0.044,260.32, 36.86, 48.47, 42.66
2015 02  0.044,260.78, 38.66, 45.38, 42.02
2015 03  0.046,262.48, 43.06, 38.87, 40.96
2015 04  0.056,265.51, 53.40, 30.02, 41.71
2015 05  0.069,269.13, 63.19, 21.10, 42.14
2015 06  0.086,273.41, 70.76, 11.59, 41.18
2015 07  0.099,276.72, 70.69,  8.07, 39.38
2015 08  0.115,280.20, 71.52,  5.51, 38.52
2015 09  0.127,283.77, 70.76,  2.98, 36.87
2015 10  0.138,286.31, 67.62,  3.36, 35.49
2015 11  0.151,288.38, 66.87,  3.19, 35.03
2015 12  0.163,289.67, 65.79,  4.97, 35.38
2015 13  0.180,290.89, 66.77,  9.94, 38.36
2015 14  0.202,292.32, 68.81, 12.47, 40.64
2015 15  0.229,293.69, 71.07, 14.91, 42.99
2015 16  0.263,295.28, 74.46, 17.04, 45.75
2015 17  0.302,296.93, 78.17, 19.11, 48.64
2015 18  0.336,298.19, 80.79, 24.77, 52.78
2015 19  0.362,298.92, 81.12, 34.93, 58.02
2015 20  0.383,299.51, 81.27, 41.42, 61.35
2015 21  0.402,300.68, 83.50, 41.07, 62.29
2015 22  0.405,301.16, 81.70, 44.38, 63.04
2015 23  0.402,301.24, 79.24, 47.98, 63.61
2015 24  0.392,301.00, 75.48, 55.19, 65.34
2015 25  0.382,300.89, 72.33, 62.20, 67.26
2015 26  0.375,300.80, 70.30, 66.68, 68.49
2015 27  0.374,301.01, 71.42, 66.37, 68.89
2015 28  0.374,301.76, 74.92, 59.18, 67.05
2015 29  0.368,302.68, 76.28, 51.01, 63.64
2015 30  0.355,303.36, 75.30, 44.51, 59.91
2015 31  0.337,303.69, 72.96, 40.94, 56.95
2015 32  0.311,303.97, 66.69, 36.82, 51.75
2015 33  0.287,304.27, 59.68, 32.58, 46.13
2015 34  0.265,304.30, 53.03, 29.36, 41.20
2015 35  0.241,303.72, 45.27, 26.98, 36.12
2015 36  0.220,303.22, 39.91, 17.83, 28.87
2015 37  0.201,302.23, 35.77,  9.01, 22.39
2015 38  0.184,300.93, 34.41,  4.00, 19.21
2015 39  0.167,298.80, 33.55,  4.32, 18.93
2015 40  0.154,295.71, 33.74,  9.33, 21.54
2015 41  0.142,292.37, 33.80, 14.03, 23.91
2015 42  0.128,289.75, 33.05, 12.83, 22.94
2015 43  0.111,286.39, 31.36, 18.63, 24.99
2015 44  0.094,282.98, 28.68, 21.57, 25.13
2015 45  0.078,279.01, 25.41, 28.04, 26.73
2015 46  0.067,274.28, 24.04, 38.42, 31.23
2015 47  0.060,270.25, 23.79, 45.67, 34.73
2015 48  0.054,267.68, 23.60, 46.12, 34.86
2015 49  0.050,266.65, 24.19, 41.65, 32.92
2015 50  0.049,266.05, 27.32, 37.08, 32.20
2015 51  0.049,265.57, 31.96, 32.54, 32.25
2015 52  0.049,265.32, 36.17, 29.00, 32.58
2016 01  0.050,264.53, 44.29, 31.15, 37.72
2016 02  0.051,264.42, 47.66, 30.23, 38.95
2016 03  0.053,265.84, 51.27, 25.18, 38.22
2016 04  0.057,267.94, 54.43, 20.78, 37.60
2016 05  0.059,269.94, 52.94, 18.56, 35.75
2016 06  0.061,272.21, 48.63, 16.60, 32.62
2016 07  0.067,275.33, 46.16, 13.35, 29.76
2016 08  0.076,278.23, 45.46, 11.86, 28.66
2016 09  0.085,280.35, 45.13, 12.64, 28.88
2016 10  0.093,282.18, 43.70, 15.84, 29.77
2016 11  0.104,283.90, 44.54, 17.60, 31.07
2016 12  0.123,286.30, 48.39, 17.00, 32.69
2016 13  0.147,288.73, 53.38, 18.04, 35.71
2016 14  0.177,291.18, 59.00, 16.54, 37.77
2016 15  0.207,292.71, 62.94, 18.56, 40.75
2016 16  0.241,294.20, 66.55, 21.80, 44.18
2016 17  0.277,295.29, 69.41, 29.09, 49.25
2016 18  0.308,295.31, 70.79, 47.42, 59.11
2016 19  0.332,295.72, 70.02, 63.28, 66.65
2016 20  0.354,296.58, 69.22, 67.65, 68.43
2016 21  0.369,297.19, 69.26, 71.95, 70.60
2016 22  0.379,297.79, 68.63, 73.78, 71.20
2016 23  0.382,298.54, 68.30, 71.54, 69.92
2016 24  0.381,299.48, 69.28, 68.72, 69.00
2016 25  0.379,300.52, 69.91, 65.32, 67.61
2016 26  0.374,301.49, 69.18, 60.45, 64.81
2016 27  0.364,302.49, 66.16, 53.85, 60.00
2016 28  0.345,303.23, 60.62, 47.31, 53.96
2016 29  0.326,303.84, 55.62, 41.78, 48.70
2016 30  0.304,304.42, 50.39, 36.18, 43.28
2016 31  0.281,304.83, 46.04, 32.06, 39.05
2016 32  0.259,304.50, 40.91, 32.62, 36.76
2016 33  0.242,304.04, 36.88, 34.26, 35.57
2016 34  0.229,303.78, 34.51, 33.26, 33.88
2016 35  0.215,302.88, 31.95, 33.56, 32.76
2016 36  0.203,301.49, 31.18, 31.75, 31.47
2016 37  0.190,299.62, 29.81, 30.11, 29.96
2016 38  0.176,297.17, 29.74, 34.52, 32.13
2016 39  0.164,293.96, 31.76, 47.52, 39.64
2016 40  0.155,290.65, 34.36, 57.68, 46.02
2016 41  0.149,287.41, 37.58, 61.01, 49.30
2016 42  0.143,284.68, 40.93, 56.77, 48.85
2016 43  0.137,282.56, 44.07, 46.94, 45.50
2016 44  0.128,280.42, 45.20, 37.02, 41.11
2016 45  0.116,277.52, 44.57, 36.38, 40.47
2016 46  0.106,274.65, 44.96, 38.14, 41.55
