2014 01  0.086,265.89, 77.19, 21.63, 49.41
2014 02  0.072,262.60, 69.19, 33.86, 51.52
2014 03  0.064,259.60, 63.32, 45.44, 54.38
2014 04  0.060,258.21, 57.55, 51.56, 54.56
2014 05  0.062,259.02, 51.77, 52.51, 52.14
2014 06  0.069,262.15, 50.50, 46.11, 48.31
2014 07  0.082,266.52, 54.95, 35.67, 45.31
2014 08  0.106,271.70, 65.39, 24.31, 44.85
2014 09  0.134,276.07, 76.49, 16.98, 46.73
2014 10  0.166,279.91, 86.44, 11.81, 49.13
2014 11  0.195,282.78, 91.12,  7.19, 49.15
2014 12  0.221,285.04, 93.33,  8.12, 50.72
2014 13  0.245,286.71, 93.82, 10.54, 52.18
2014 14  0.274,288.17, 94.04, 10.12, 52.08
2014 15  0.304,289.30, 93.52, 11.80, 52.66
2014 16  0.334,290.22, 92.05, 19.44, 55.74
2014 17  0.364,291.04, 90.11, 30.03, 60.07
2014 18  0.389,291.68, 87.04, 39.68, 63.36
2014 19  0.412,292.22, 83.39, 47.73, 65.56
2014 20  0.427,292.61, 78.76, 55.01, 66.89
2014 21  0.443,293.21, 75.76, 57.45, 66.61
2014 22  0.454,293.24, 72.68, 62.14, 67.41
2014 23  0.470,294.33, 76.40, 53.44, 64.92
2014 24  0.479,294.77, 78.48, 49.04, 63.76
2014 25  0.482,295.38, 78.94, 41.28, 60.11
2014 26  0.478,295.64, 76.51, 38.03, 57.27
2014 27  0.476,296.07, 76.10, 33.51, 54.81
2014 28  0.469,296.39, 75.26, 30.69, 52.97
2014 29  0.462,296.73, 74.99, 28.41, 51.70
2014 30  0.456,297.02, 76.17, 26.33, 51.25
2014 31  0.450,297.02, 77.71, 26.32, 52.01
2014 32  0.446,296.85, 80.27, 27.46, 53.86
2014 33  0.442,296.56, 81.88, 27.62, 54.75
2014 34  0.434,296.22, 82.93, 28.02, 55.47
2014 35  0.422,295.36, 83.41, 31.46, 57.44
2014 36  0.406,294.22, 83.84, 31.10, 57.47
2014 37  0.387,293.17, 83.20, 27.27, 55.24
2014 38  0.361,292.01, 78.03, 24.33, 51.18
2014 39  0.328,289.87, 69.44, 29.46, 49.45
2014 40  0.295,287.10, 62.22, 39.83, 51.03
2014 41  0.264,284.82, 57.95, 40.57, 49.26
2014 42  0.233,282.68, 54.12, 40.63, 47.38
2014 43  0.200,279.78, 51.01, 44.18, 47.59
2014 44  0.168,276.65, 47.72, 45.77, 46.75
2014 45  0.134,272.82, 40.97, 51.01, 45.99
2014 46  0.099,267.73, 31.52, 61.02, 46.27
2014 47  0.077,263.94, 27.73, 64.41, 46.07
2014 48  0.062,260.77, 26.62, 68.03, 47.32
2014 49  0.054,258.90, 25.97, 69.16, 47.56
2014 50  0.054,259.03, 31.25, 62.40, 46.82
2014 51  0.056,259.95, 39.96, 51.85, 45.90
2014 52  0.058,260.79, 46.26, 43.81, 45.04
2015 01  0.060,261.33, 52.17, 39.06, 45.62
2015 02  0.064,262.66, 59.81, 33.62, 46.72
2015 03  0.071,265.19, 70.64, 24.61, 47.63
2015 04  0.080,267.06, 75.40, 20.18, 47.79
2015 05  0.087,269.38, 72.51, 18.39, 45.45
2015 06  0.094,271.43, 68.63, 17.06, 42.85
2015 07  0.102,273.25, 68.64, 15.23, 41.93
2015 08  0.118,275.80, 72.57, 12.08, 42.33
2015 09  0.135,278.29, 77.47, 10.17, 43.82
2015 10  0.151,280.56, 79.64,  9.96, 44.80
2015 11  0.170,283.33, 81.59,  5.82, 43.70
2015 12  0.184,285.24, 80.31,  7.89, 44.10
2015 13  0.199,287.02, 78.04,  9.97, 44.01
2015 14  0.215,288.27, 73.75, 10.39, 42.07
