2014 01  0.122,271.87, 78.17, 21.30, 49.74
2014 02  0.101,269.32, 67.31, 30.19, 48.75
2014 03  0.084,266.64, 56.01, 38.85, 47.43
2014 04  0.074,264.96, 47.24, 44.81, 46.03
2014 05  0.072,264.80, 44.64, 46.61, 45.62
2014 06  0.078,266.18, 47.04, 45.89, 46.47
2014 07  0.095,269.11, 53.71, 41.45, 47.58
2014 08  0.124,274.24, 66.46, 31.66, 49.06
2014 09  0.159,279.11, 78.68, 24.10, 51.39
2014 10  0.196,283.18, 87.42, 18.84, 53.13
2014 11  0.230,286.56, 91.85, 12.95, 52.40
2014 12  0.260,289.21, 93.80, 11.51, 52.65
2014 13  0.287,291.27, 93.92, 11.97, 52.94
2014 14  0.315,292.92, 93.81, 11.87, 52.84
2014 15  0.342,294.20, 93.88, 15.01, 54.45
2014 16  0.370,295.19, 93.10, 22.16, 57.63
2014 17  0.397,295.98, 92.20, 30.90, 61.55
2014 18  0.414,296.61, 90.21, 41.13, 65.67
2014 19  0.424,297.14, 87.71, 50.43, 69.07
2014 20  0.424,297.46, 84.38, 57.23, 70.81
2014 21  0.418,297.86, 80.53, 60.84, 70.68
2014 22  0.404,298.03, 75.51, 65.52, 70.52
2014 23  0.395,298.45, 73.92, 67.01, 70.46
2014 24  0.385,299.08, 72.16, 65.34, 68.75
2014 25  0.371,299.73, 67.87, 63.43, 65.65
2014 26  0.354,300.33, 61.44, 61.40, 61.42
2014 27  0.341,301.01, 57.87, 59.30, 58.59
2014 28  0.330,301.74, 56.09, 55.03, 55.56
2014 29  0.314,302.72, 52.08, 47.64, 49.86
2014 30  0.298,303.57, 47.84, 40.20, 44.02
2014 31  0.281,304.06, 44.11, 34.50, 39.30
2014 32  0.271,304.59, 43.88, 26.73, 35.31
2014 33  0.259,304.76, 42.44, 20.53, 31.49
2014 34  0.245,304.54, 39.18, 16.44, 27.81
2014 35  0.232,303.74, 37.36, 14.08, 25.72
2014 36  0.222,302.53, 38.18, 12.12, 25.15
2014 37  0.212,301.30, 39.11, 10.32, 24.72
2014 38  0.199,299.77, 38.25,  9.72, 23.99
2014 39  0.186,297.37, 37.51, 13.66, 25.59
2014 40  0.174,294.56, 37.39, 20.08, 28.74
2014 41  0.160,291.88, 37.06, 20.61, 28.84
2014 42  0.143,288.69, 35.35, 23.94, 29.64
2014 43  0.125,285.52, 33.24, 29.87, 31.55
2014 44  0.109,281.57, 30.97, 37.66, 34.31
2014 45  0.092,276.92, 27.58, 49.40, 38.49
2014 46  0.075,272.85, 23.20, 56.69, 39.95
2014 47  0.061,269.29, 20.08, 62.43, 41.26
2014 48  0.054,266.25, 19.56, 65.91, 42.74
2014 49  0.050,263.45, 20.66, 66.52, 43.59
2014 50  0.050,261.62, 23.15, 63.81, 43.48
2014 51  0.049,260.78, 24.53, 61.28, 42.90
2014 52  0.046,259.49, 23.42, 61.67, 42.54
2015 01  0.042,258.85, 23.00, 62.05, 42.53
2015 02  0.042,259.66, 25.77, 60.02, 42.90
2015 03  0.045,261.60, 29.90, 53.54, 41.72
2015 04  0.055,264.99, 35.80, 44.16, 39.98
2015 05  0.068,268.48, 42.91, 35.79, 39.35
2015 06  0.081,272.01, 48.93, 29.19, 39.06
2015 07  0.093,275.66, 53.04, 22.81, 37.92
2015 08  0.109,279.14, 58.28, 17.67, 37.97
2015 09  0.126,282.22, 62.10, 15.01, 38.56
2015 10  0.142,284.80, 63.66, 13.95, 38.80
2015 11  0.159,286.87, 64.99, 11.73, 38.36
2015 12  0.175,288.46, 64.69, 13.79, 39.24
2015 13  0.196,290.05, 64.53, 16.45, 40.49
2015 14  0.219,291.48, 64.51, 17.94, 41.23
2015 15  0.242,292.79, 64.89, 22.36, 43.63
2015 16  0.272,294.27, 65.56, 28.19, 46.88
2015 17  0.306,295.90, 67.44, 31.29, 49.36
2015 18  0.338,297.17, 69.47, 36.13, 52.80
2015 19  0.366,298.17, 71.50, 41.09, 56.30
2015 20  0.389,299.07, 74.50, 43.17, 58.83
2015 21  0.406,300.42, 78.06, 39.39, 58.73
2015 22  0.411,301.41, 79.35, 38.14, 58.74
2015 23  0.406,302.04, 79.18, 39.02, 59.10
2015 24  0.390,302.13, 74.66, 41.58, 58.12
2015 25  0.371,302.37, 67.62, 42.50, 55.06
2015 26  0.356,302.98, 62.29, 40.66, 51.48
2015 27  0.345,303.46, 59.28, 40.73, 50.00
2015 28  0.334,304.19, 57.54, 36.80, 47.17
2015 29  0.325,305.15, 56.70, 29.49, 43.09
2015 30  0.313,306.02, 54.75, 22.13, 38.44
2015 31  0.297,306.63, 51.25, 16.18, 33.71
2015 32  0.276,306.99, 45.79, 11.10, 28.45
2015 33  0.252,307.04, 38.22,  7.66, 22.94
2015 34  0.233,306.88, 32.23,  5.24, 18.73
2015 35  0.215,305.99, 27.35,  4.72, 16.04
2015 36  0.199,304.65, 25.26,  4.00, 14.63
2015 37  0.185,302.59, 24.22,  5.52, 14.87
2015 38  0.172,300.00, 23.37,  9.52, 16.44
2015 39  0.159,297.48, 23.03, 14.21, 18.62
2015 40  0.148,294.87, 23.78, 17.94, 20.86
2015 41  0.137,292.22, 25.47, 17.62, 21.55
2015 42  0.128,290.11, 28.67, 12.66, 20.67
2015 43  0.120,288.10, 31.24, 12.08, 21.66
2015 44  0.113,286.19, 33.63, 10.26, 21.95
2015 45  0.107,284.23, 35.52, 11.04, 23.28
2015 46  0.103,281.79, 37.99, 14.25, 26.12
2015 47  0.102,279.52, 42.02, 17.07, 29.54
2015 48  0.101,277.46, 46.24, 19.39, 32.82
2015 49  0.101,275.86, 51.03, 18.77, 34.90
2015 50  0.101,274.29, 56.15, 17.73, 36.94
2015 51  0.099,272.35, 58.57, 20.80, 39.68
2015 52  0.096,270.68, 57.68, 24.93, 41.30
2016 01  0.091,268.48, 56.01, 31.54, 43.78
2016 02  0.084,266.22, 53.50, 39.30, 46.40
2016 03  0.078,265.05, 50.60, 43.00, 46.80
2016 04  0.080,265.78, 50.51, 42.04, 46.27
2016 05  0.084,267.97, 52.35, 37.50, 44.93
2016 06  0.094,271.84, 56.39, 29.80, 43.10
2016 07  0.111,276.09, 62.15, 21.64, 41.89
2016 08  0.130,279.63, 67.93, 16.30, 42.12
2016 09  0.150,282.43, 72.30, 14.36, 43.33
2016 10  0.174,284.93, 76.39, 13.45, 44.92
2016 11  0.197,286.75, 79.35, 12.02, 45.69
2016 12  0.221,288.35, 81.26, 14.12, 47.69
2016 13  0.249,290.14, 82.40, 16.24, 49.32
2016 14  0.280,291.53, 84.07, 18.16, 51.11
2016 15  0.311,292.54, 85.63, 24.28, 54.95
2016 16  0.343,293.09, 86.30, 37.34, 61.82
2016 17  0.372,293.41, 86.28, 52.86, 69.57
2016 18  0.392,293.54, 85.20, 68.27, 76.73
2016 19  0.405,293.89, 83.26, 78.70, 80.98
2016 20  0.412,294.27, 81.55, 83.37, 82.46
2016 21  0.416,294.62, 80.73, 86.06, 83.39
2016 22  0.416,295.29, 80.57, 86.35, 83.46
2016 23  0.416,296.18, 82.75, 84.34, 83.55
2016 24  0.410,297.10, 82.96, 80.64, 81.80
2016 25  0.401,298.32, 81.02, 74.72, 77.87
2016 26  0.391,299.51, 78.40, 67.87, 73.13
2016 27  0.380,300.75, 75.91, 61.16, 68.53
2016 28  0.365,302.00, 71.84, 52.91, 62.38
2016 29  0.350,302.96, 68.13, 45.69, 56.91
2016 30  0.331,303.64, 62.97, 39.52, 51.25
2016 31  0.311,303.86, 57.74, 35.91, 46.83
2016 32  0.289,303.71, 52.76, 33.07, 42.92
2016 33  0.270,303.44, 47.98, 29.98, 38.98
2016 34  0.251,303.04, 42.64, 27.00, 34.82
2016 35  0.233,302.26, 37.75, 24.33, 31.04
2016 36  0.215,300.92, 34.12, 23.37, 28.75
2016 37  0.198,299.07, 30.95, 27.45, 29.20
2016 38  0.184,296.90, 29.77, 34.48, 32.12
2016 39  0.167,293.72, 27.32, 51.10, 39.21
2016 40  0.152,290.37, 25.92, 65.51, 45.72
2016 41  0.140,287.09, 27.01, 70.29, 48.64
2016 42  0.128,283.85, 28.37, 69.03, 48.70
2016 43  0.115,280.89, 28.51, 63.90, 46.21
2016 44  0.103,278.11, 28.32, 58.64, 43.48
2016 45  0.094,275.62, 28.63, 56.03, 42.33
2016 46  0.092,273.84, 32.07, 52.83, 42.45
2016 47  0.090,271.98, 34.89, 52.27, 43.58
2016 48  0.089,270.41, 39.03, 50.75, 44.89
2016 49  0.087,269.15, 42.67, 46.26, 44.46
2016 50  0.085,268.00, 46.03, 41.69, 43.86
2016 51  0.080,266.76, 47.61, 40.89, 44.25
