2014 01  0.086,265.64, 64.96, 21.27, 43.11
2014 02  0.085,264.15, 63.36, 25.41, 44.38
2014 03  0.085,263.56, 62.59, 28.79, 45.69
2014 04  0.089,264.23, 65.00, 28.91, 46.95
2014 05  0.096,265.88, 67.35, 28.07, 47.71
2014 06  0.105,268.63, 68.49, 24.09, 46.29
2014 07  0.119,271.68, 70.30, 17.77, 44.03
2014 08  0.138,275.13, 74.64, 10.48, 42.56
2014 09  0.161,278.36, 80.20,  5.50, 42.85
2014 10  0.183,281.35, 83.62,  2.98, 43.30
2014 11  0.204,283.75, 85.70,  1.17, 43.43
2014 12  0.222,285.68, 86.81,  2.51, 44.66
2014 13  0.238,287.13, 87.73,  4.28, 46.01
2014 14  0.257,288.41, 88.19,  5.21, 46.70
2014 15  0.280,289.52, 87.93,  9.79, 48.86
2014 16  0.306,290.62, 85.88, 18.97, 52.42
2014 17  0.336,291.72, 84.05, 27.27, 55.66
2014 18  0.361,292.63, 81.16, 36.34, 58.75
2014 19  0.386,293.39, 78.65, 44.11, 61.38
2014 20  0.407,293.82, 74.43, 52.02, 63.23
2014 21  0.427,294.21, 73.36, 56.07, 64.71
2014 22  0.440,294.11, 71.42, 60.17, 65.79
2014 23  0.461,294.88, 77.91, 54.62, 66.26
2014 24  0.473,295.23, 81.39, 53.08, 67.23
2014 25  0.480,295.53, 83.10, 52.36, 67.73
2014 26  0.480,295.68, 81.80, 51.50, 66.65
2014 27  0.482,296.17, 82.97, 48.60, 65.79
2014 28  0.483,296.66, 84.95, 45.72, 65.33
2014 29  0.480,297.19, 85.72, 42.69, 64.21
2014 30  0.475,297.65, 85.37, 41.04, 63.21
2014 31  0.463,297.72, 82.50, 39.97, 61.23
2014 32  0.449,297.50, 79.30, 38.70, 59.00
2014 33  0.432,296.89, 74.46, 37.56, 56.01
2014 34  0.414,296.01, 70.91, 36.65, 53.78
2014 35  0.399,295.12, 71.54, 33.61, 52.58
2014 36  0.387,294.12, 74.70, 29.90, 52.30
2014 37  0.371,293.10, 78.45, 25.50, 51.97
2014 38  0.351,291.83, 78.69, 19.85, 49.27
2014 39  0.326,289.78, 76.88, 21.33, 49.10
2014 40  0.302,287.63, 76.52, 24.01, 50.26
2014 41  0.280,285.61, 77.42, 22.73, 50.07
2014 42  0.254,283.27, 75.73, 27.51, 51.62
2014 43  0.226,281.19, 73.41, 27.16, 50.28
2014 44  0.197,278.92, 69.21, 19.34, 44.27
2014 45  0.168,276.40, 64.61, 20.46, 42.53
2014 46  0.139,273.49, 58.70, 25.52, 42.11
2014 47  0.111,270.62, 49.66, 30.28, 39.97
2014 48  0.092,267.81, 42.48, 37.43, 39.95
2014 49  0.082,265.62, 38.88, 40.69, 39.78
2014 50  0.080,264.88, 43.38, 38.06, 40.72
2014 51  0.081,264.27, 48.79, 34.29, 41.54
2014 52  0.081,263.46, 52.66, 33.45, 43.05
2015 01  0.082,262.78, 58.34, 32.36, 45.35
2015 02  0.082,262.59, 57.84, 32.01, 44.92
2015 03  0.078,263.11, 53.41, 30.89, 42.15
2015 04  0.074,263.74, 49.66, 30.88, 40.27
2015 05  0.072,264.72, 46.16, 32.48, 39.32
2015 06  0.073,266.07, 43.19, 33.84, 38.52
2015 07  0.080,268.04, 42.93, 31.89, 37.41
2015 08  0.091,270.90, 46.15, 26.90, 36.53
2015 09  0.107,273.82, 50.70, 22.36, 36.53
2015 10  0.127,277.25, 56.12, 16.99, 36.55
2015 11  0.151,280.59, 61.98,  9.17, 35.58
2015 12  0.172,282.97, 65.04, 10.47, 37.76
2015 13  0.191,285.08, 67.07, 11.23, 39.15
2015 14  0.212,286.79, 67.84, 11.82, 39.83
2015 15  0.235,288.84, 66.91, 13.52, 40.22
2015 16  0.265,291.31, 66.62, 14.28, 40.45
2015 17  0.301,293.48, 67.88, 14.07, 40.98
